,hp_low,taggings,tag_distributions
0,“What the hell just happened?” Bella hissed at me from across the table.,"['WP', 'DT', 'NN', 'RB', 'VB', 'NNP', 'VB', 'IN', 'PRP', 'IN', 'IN', 'DT', 'NN']","[('WP', 1), ('DT', 2), ('NN', 2), ('RB', 1), ('VB', 2), ('NNP', 1), ('IN', 3), ('PRP', 1)]"
1,I looked down the Slytherin table.,"['PRP', 'VB', 'RP', 'DT', 'NNP', 'NN']","[('PRP', 1), ('VB', 1), ('RP', 1), ('DT', 1), ('NNP', 1), ('NN', 1)]"
2,"Lucius Malfoy, my fellow prefect, was wearing an expression on his face that was a cross between sympathy and amusement.","['NNP', 'NNP', 'PRP$', 'JJ', 'NN', 'VB', 'VB', 'DT', 'NN', 'IN', 'PRP$', 'NN', 'WP', 'VB', 'DT', 'NN', 'IN', 'NN', 'CC', 'NN']","[('NNP', 2), ('PRP$', 2), ('JJ', 1), ('NN', 6), ('VB', 3), ('DT', 2), ('IN', 2), ('WP', 1), ('CC', 1)]"
3,Narcissa looked as if she was about to vomit.,"['RB', 'VB', 'IN', 'IN', 'PRP', 'VB', 'RB', 'TO', 'VB']","[('RB', 2), ('VB', 3), ('IN', 2), ('PRP', 1), ('TO', 1)]"
4,"“The hat put him into Gryffindor,” I replied in a matter of fact voice.","['DT', 'NN', 'VB', 'PRP', 'IN', 'NNP', 'PRP', 'VB', 'IN', 'DT', 'NN', 'IN', 'NN', 'NN']","[('DT', 2), ('NN', 4), ('VB', 2), ('PRP', 2), ('IN', 3), ('NNP', 1)]"
5,“I know he was sorted into Gryffindor I’m not blind Andromeda.”,"['PRP', 'VB', 'PRP', 'VB', 'VB', 'IN', 'NNP', 'PRP', 'VB', 'RB', 'IN', 'NNP']","[('PRP', 3), ('VB', 4), ('IN', 2), ('NNP', 2), ('RB', 1)]"
6,"“Well, you did ask...”","['RB', 'PRP', 'VB', 'VB']","[('RB', 1), ('PRP', 1), ('VB', 2)]"
7,"I know just how irritating I was being, and I stand by it.","['PRP', 'VB', 'RB', 'WP', 'JJ', 'PRP', 'VB', 'VB', 'CC', 'PRP', 'VB', 'IN', 'PRP']","[('PRP', 4), ('VB', 4), ('RB', 1), ('WP', 1), ('JJ', 1), ('CC', 1), ('IN', 1)]"
8,I was not about to let a Bellatrix Black temper tantrum ruin the glow of my first night as a prefect.,"['PRP', 'VB', 'RB', 'IN', 'TO', 'VB', 'DT', 'NNP', 'NNP', 'IN', 'NN', 'VB', 'DT', 'NN', 'IN', 'PRP$', 'JJ', 'NN', 'IN', 'DT', 'NN']","[('PRP', 1), ('VB', 3), ('RB', 1), ('IN', 4), ('TO', 1), ('DT', 3), ('NNP', 2), ('NN', 4), ('PRP$', 1), ('JJ', 1)]"
9,"She had obviously, and predictably, taken the result of Sirius’ sorting as a personal offense.","['PRP', 'VB', 'RB', 'CC', 'RB', 'VB', 'DT', 'NN', 'IN', 'NNP', 'VB', 'IN', 'DT', 'JJ', 'NN']","[('PRP', 1), ('VB', 3), ('RB', 2), ('CC', 1), ('DT', 2), ('NN', 2), ('IN', 2), ('NNP', 1), ('JJ', 1)]"
10,Bella continued to mutter angrily and slightly threateningly under her breath until Professor McGonagall shot her a filthy look.,"['NNP', 'VB', 'TO', 'VB', 'RB', 'CC', 'RB', 'RB', 'IN', 'PRP$', 'NN', 'IN', 'NNP', 'NNP', 'VB', 'PRP$', 'DT', 'JJ', 'NN']","[('NNP', 3), ('VB', 3), ('TO', 1), ('RB', 3), ('CC', 1), ('IN', 2), ('PRP$', 2), ('NN', 2), ('DT', 1), ('JJ', 1)]"
11,Professor McGonagall was no fan of Bella’s.,"['NNP', 'NNP', 'VB', 'DT', 'NN', 'IN', 'NNP', 'NN']","[('NNP', 3), ('VB', 1), ('DT', 1), ('NN', 2), ('IN', 1)]"
12,"Bellatrix completely ignored McGonagall’s glare, so I, seeing no other option, kicked her under the table.","['NNP', 'RB', 'VB', 'NNP', 'NN', 'VB', 'RB', 'PRP', 'VB', 'DT', 'JJ', 'NN', 'VB', 'PRP', 'IN', 'DT', 'NN']","[('NNP', 2), ('RB', 2), ('VB', 4), ('NN', 3), ('PRP', 2), ('DT', 2), ('JJ', 1), ('IN', 1)]"
13,That shut her up.,"['DT', 'VB', 'PRP', 'RP']","[('DT', 1), ('VB', 1), ('PRP', 1), ('RP', 1)]"
