,hero_high,preprocess_txt,total_len,pos_count,neg_count,sentiment
0,"Even after an hour-long shower, Izuku still felt the weight of the past 24 hours clinging to his skin.","['even', 'hour', 'long', 'shower', 'izuku', 'still', 'felt', 'weight', 'past', 'hour', 'clinging', 'skin']",12,0,0,0.0
1,"All Might looked down on him from every wall in his room, judgmental eyes staring straight into his soul.","['might', 'looked', 'every', 'wall', 'room', 'judgmental', 'eye', 'staring', 'straight', 'soul']",10,0,0,0.0
2,You can’t be a hero.,['hero'],1,1,0,1.0
3,Not without a quirk.,"['without', 'quirk']",2,0,0,0.0
4,Be realistic.,['realistic'],1,1,0,1.0
5,Izuku went to bed crying for his broken dream.,"['izuku', 'went', 'bed', 'cry', 'broken', 'dream']",6,0,2,-0.33
6,His room looked empty without all his All Might merch.,"['room', 'looked', 'empty', 'without', 'might', 'merch']",6,0,0,0.0
7,"It wasn’t that Izuku hated All Might now, it’s just that every time he looked at the smiling hero, all he could think was you can’t be a hero.","['izuku', 'hated', 'might', 'every', 'time', 'looked', 'smiling', 'hero', 'could', 'think', 'hero']",11,3,1,0.18
8,Just because Izuku was finally coming to terms with that fact didn’t mean he needed it playing on a loop in his head every time he’s at home.,"['izuku', 'finally', 'coming', 'term', 'fact', 'mean', 'needed', 'playing', 'loop', 'head', 'every', 'time', 'home']",13,0,0,0.0
9,"He still had a few posters up from some of his other favorite heroes, but he’d changed his sheets to a plain black set that he’d found collecting dust in the linen closet paired with a gold pillowcase.","['still', 'poster', 'favorite', 'hero', 'changed', 'sheet', 'plain', 'black', 'set', 'found', 'collecting', 'dust', 'linen', 'closet', 'paired', 'gold', 'pillowcase']",17,3,1,0.12
10,"It wasn’t official merchandise, but it reminded Izuku of Eraserhead anyway.","['official', 'merchandise', 'reminded', 'izuku', 'eraserhead', 'anyway']",6,0,0,0.0
11,"It had taken a few days for him to gather the courage, but Izuku had finally sat down and updated his hero analysis notebooks, leaving out the parts on All Might’s secret weakness.","['taken', 'day', 'gather', 'courage', 'izuku', 'finally', 'sat', 'updated', 'hero', 'analysis', 'notebook', 'leaving', 'part', 'might', 'secret', 'weakness']",16,2,1,0.06
12,It was… oddly comforting.,"['oddly', 'comforting']",2,1,1,0.0
13,"He had thought it would be painful and it was in some ways, but it was mostly familiar, like his analysis was the only part of himself that hadn’t shattered alongside his hero dream.","['thought', 'would', 'painful', 'way', 'mostly', 'familiar', 'like', 'analysis', 'part', 'shattered', 'alongside', 'hero', 'dream']",13,2,1,0.08
14,"That was why he found himself, during his latest bout with insomnia, browsing a lesser known hero forum.","['found', 'latest', 'bout', 'insomnia', 'browsing', 'lesser', 'known', 'hero', 'forum']",9,1,0,0.11
